carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2843.5430395303683
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,15796.768691798423
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,4987.467677186944
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,15634.372681564762
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,8697.717789897291
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,14731.036218437215
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,4876.159602583898
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1848.164291844419
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,21502.710863394546
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,706.1510979226616
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1990.6132975454052
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4806.904212791125
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,11028.366991139228
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,9039.429289654106
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4899.3075027734785
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,2962.7923906650503
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,9618.517127856905
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,7618.098372325101
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,5129.797903318012
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,3361.599530359674
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,4973.779656457265
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,7151.949147077258
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,9153.800144451243
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,6778.41895250622
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,9687.837687261956
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,4786.742081868677
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,8934.65704408436
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,7625.598499521395
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,9790.58875824492
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,22868.799878283055
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,836.4101086530964
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,7160.763977822057
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,5034.774223753154
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,17982.563624146638
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,6094.774609428123
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,5497.875643106021
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1536.814306296736
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,1007.1224430494703
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,1105.49166869606
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,12036.188254567782
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,17381.502300471715
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,8570.623509050827
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2327.7543234025525
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,5023.527631989139
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,8594.304840319184
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,7543.189134382396
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,657.063759709682
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,604.7038212655069
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,4837.604608858397
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,8565.354376478417
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,14704.902548980506
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,7216.8226915336545
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-27.378721845449036
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,219.6002909043516
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1081.912287117584
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,5209.292589459498
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1555.7346795212184
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,652.6572721277411
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,8543.124622945135
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,2667.7617246522404
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,17661.557354337503
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2654.720608218585
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4820.961678281853
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,2811.806958513128
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,8594.920885194946
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,690.5497729534277
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,8509.536660011507
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,11317.282709469197
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,8649.728173262125
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,9045.324135048726
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,7236.133700993003
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,3258.176912835119
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,5997.446989388844
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,603.0365028359871
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,5496.7049756776705
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,11123.626988567672
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,14867.359981537335
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,11020.773967894826
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,4832.44334663321
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,2922.2679767294935
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2190.3375181057168
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1647.4754766037574
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,1306.759748734877
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,3454.5917530866295
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,5251.397642951167
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,14937.3991498127
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,12348.795586417227
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,8382.97581024382
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1804.7005566657845
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1362.9469099628377
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1122.5445714003652
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,630.2273665038011
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,9983.946124655004
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1291.0505534184201
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1536.5527318829086
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,2698.28316010267
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,646.2078041805332
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,17558.068952896003
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,11871.728983317065
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,8460.695921913239
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,15948.215850454832
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,1355.0923123046095
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,26412.362512791715
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,8568.571475043787
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,742.6384690373284
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,21897.588830615503
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,4893.946088457636
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,8747.121577218355
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,15367.65117796672
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,916.7409419585699
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,14933.69070659883
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,195.77430921116638
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,8614.051078456534
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1785.4353809258166
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,8931.17462381606
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,15617.10403816601
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,8547.475608861248
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,28157.296061571466
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,4830.258185728707
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,7852.29784305507
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,736.1890010901201
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,11570.80939256698
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,24731.26526445481
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,415.63540414368936
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,14958.684885834773
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1615.4048753221539
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,17279.891037496836
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,21365.002865539864
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,631.3612538545453
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,3175.5324711087787
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,948.9851975043473
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,10437.997636675726
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,14853.493000190818
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,479.98518546775813
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,4794.078837051919
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-1409.6385143628029
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2878.1726080713083
2.17,Premium,H,SI1,59.9,61.0,8.39,8.38,5.02,23595.27725515222
