,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,21.80368858087013
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4530.211277858961
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5522.968156211345
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5533.9438475535735
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1883.921973187838
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,603.6349359474707
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,2840.421016110135
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1941.1941347462748
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1829.2834777274056
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7147.5721639769135
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,182.24777793473822
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1789.6586114751508
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7266.856560843703
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,576.390032805386
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,726.2551347962349
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,495.2087700868419
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6339.434625650839
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,394.8141569871018
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,643.1292477328477
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3000.0011862729575
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,535.7837870260169
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1549.8473292807003
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1671.7653922454938
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2163.7679197445636
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,352.5556246368419
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,854.5836927912212
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,385.50888692514764
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4562.183160620154
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3785.197908835229
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2927.5717469086585
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,826.0781664788823
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3018.3506174631098
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3109.818529770721
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4605.553626964405
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3323.776086460219
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9412.08608275675
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9471.302868660028
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,987.080743119032
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5338.90730347132
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,18005.496553276604
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5419.399524436702
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,888.3696454303778
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2915.893919682459
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5482.641154075117
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6286.200401958348
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5985.911710690368
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3027.935131168204
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5246.737255279736
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9516.356850415363
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1018.0712463531117
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1106.4956944526994
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,373.83105969894746
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,486.44385260178706
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2928.68368090265
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,555.947288094131
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6547.143470617214
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1613.3812966930661
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6430.213496205287
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1771.71897839502
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,24.860246919703968
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1661.0558504155965
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,5982.706463175271
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,346.99595466688334
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1460.03170354398
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9494.802171710116
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5539.372963056654
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,468.91401763167596
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,923.6773301735446
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5557.163906960522
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6569.940637783331
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5665.459518354272
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3005.0074095352093
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,303.7560427895105
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5913.072473216049
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3321.272974829095
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1039.6259250583585
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1861.2553604885993
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1689.8355797925033
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5254.390238770799
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5175.842642150259
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5389.930753306635
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3209.6415614533685
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5276.075471942926
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,584.5833688733485
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7127.4086629088
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,411.6418560732409
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5695.648560077696
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5338.628059828178
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-36.85965061469892
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,622.6865030215924
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1858.621694390596
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4531.323211852952
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3159.730045612045
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4060.726673882867
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5604.018864463012
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3008.063967874042
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1056.4536241444973
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,502.29017216081184
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11421.203508716866
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6297.598985541406
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1752.257613210877
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,419.83519214120247
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9602.96722863699
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13650.845729125176
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,453.3600358466017
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2934.522594515751
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7337.620619506303
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,375.6320354461002
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2203.39278599682
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3904.612860168896
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,864.5910987371466
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,435.55095723334944
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7305.64873674511
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9596.556733606796
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1939.3931589991207
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,419.70463767432375
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1879.0644391018513
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4760.176937414556
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1771.71897839502
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5594.272567450844
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5597.08111098673
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6994.371260004091
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13980.297759618465
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9540.545195218616
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,14050.50333099478
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,307.50164288150563
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3050.1788516266133
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3071.305597512456
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,17094.87108832968
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2089.53750463311
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1827.0596097394223
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6963.641865703767
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1747.8098772349103
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9943.290584267248
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,2968.997588908069
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10046.989770508768
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5492.797249197305
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9343.694581258398
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3092.9908306845823
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,960.9477739709398
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13716.590470394713
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,375.2222373360803
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1148.6236723360817
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,2945.6419344556675
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,6811.845233498886
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5710.923298219629
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3001.802162020112
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1757.686728713957
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,5964.505721161384
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4690.92151672516
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2916.875299209572
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2049.912638380853
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3102.034991812779
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4336.565911413839
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5775.848443269129
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4129.559202331433
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,5943.522623873229
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2976.5018832228693
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5529.788449351559
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4756.679352125509
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,5993.843937824574
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14732.131421782407
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,523.9754053329373
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4636.692819374748
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3048.377875879461
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11522.840610277479
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3786.0305991860796
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3477.6660321862055
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,978.4463801008554
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,567.2153172103103
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,686.6302685439778
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7733.955513524742
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11051.703719730493
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5369.767252238522
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1464.0565472791159
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2907.7005836144954
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5297.760705115052
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4592.223513167314
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,405.8029424601393
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,365.0661422138917
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3019.872349567121
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5317.2220702991945
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9495.211969820137
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4553.008445025079
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,45.433546097837734
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,34.32730028872993
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,595.4415998795084
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3182.117414668142
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,892.8173814063446
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,325.3107214947572
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5326.39678589427
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1648.6889814362348
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11178.771654555225
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1662.5906766504193
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3009.585699978054
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1824.2641603343466
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5382.277769815571
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,423.040439656299
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5472.354504486051
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7299.238241714916
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5358.08942501232
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5733.720465385748
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4574.972921840345
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1969.14117377233
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3724.7204997616977
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,336.7093050778153
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3463.3545388620005
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6851.470099751143
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9546.235419655452
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,6964.3440015877395
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3012.9215019600288
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1822.742428230334
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1327.1248551061476
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,973.5888460148683
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,753.3694834714402
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2071.1880734429587
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3010.4365250382893
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9277.247704104884
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7865.750427968581
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5368.506629068266
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,977.2038916399846
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,795.2182177116804
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,575.9802346953657
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,337.82123907180676
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6285.088467964356
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,755.5933514594236
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,827.0595460059944
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1636.8675056123466
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,372.7191257049558
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11435.658650638761
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7323.58836982524
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5390.471105883535
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10024.76418475974
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,796.330151705672
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17194.868997450212
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5442.60648971284
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,426.6554852814161
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14170.899661855561
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2998.187116394996
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,5081.741063744643
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9853.754202173668
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,472.5421573876015
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9515.933958174535
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,55.6027353508357
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5179.047889665356
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1015.4375802551085
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5576.071825436957
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,10066.45113569291
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5460.955920902992
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,18052.3646049099
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3059.907013929398
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4845.103800225096
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,474.0638894916149
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7400.583005501575
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16003.329974923574
